Yields
18.5
15.9
13.1
15.1
5.7
9.4
15.3
17.6
18.4
22
15.2
17.6
13.2
13.1
18.2
8.4
15.6
25.1
10.4
5.4
13.7
8.2
10.9
13.5
15.9
19.4
23.9
13.3
16.6
13.3
20.9
13.5
5
16
16.1
15.2
17.9
11.3
6.1
7.4
15.2
7.5
10.4
10.8
9.2
18
15.7
14.5
12.7
19.7
6.1
4.9
16.7
17.4
6.2
6.5
9.3
8.7
4.2
17.8
9
20.3
17.6
12.9
13.4
15.6
12.1
15.9
9.6
21.9
5.5
16.4
20.3
13.2
13.1
12.2
14.9
7.1
8.8
9.1
17.4
16.3
21.5
19.8
23.9
13.1
10.2
4.7
26.2
14
9.8
9.7
11.8
10.1
8.5
23.2
11.9
17.1
1.8
14.2
